year_month,avg_rate_gpb_usd,avg_rate_gpb_eur
2009-12,1.6221,1.126
2010-01,1.616315,1.13268
2010-02,1.56229,1.14154
2010-03,1.504957,1.109187
2010-04,1.532875,1.1435
2010-05,1.465952,1.166743
2010-06,1.475059,1.208227
2010-07,1.528105,1.196727
2010-08,1.565441,1.214173
2010-09,1.555655,1.190891
2010-10,1.585862,1.141133
2010-11,1.5974,1.169627
2010-12,1.558804,1.179135
2011-01,1.577019,1.180681
2011-02,1.612665,1.181585
2011-03,1.615613,1.154174
2011-04,1.635647,1.132653
2011-05,1.634386,1.13925
2011-06,1.621373,1.126905
2011-07,1.612271,1.130371
2011-08,1.636104,1.140704
2011-09,1.579573,1.147186
2011-10,1.57469,1.148995
2011-11,1.58105,1.166332
2011-12,1.561367,1.184924
2012-01,1.550845,1.201814
2012-02,1.58001,1.194867
2012-03,1.581932,1.198345
2012-04,1.601474,1.216768
2012-05,1.591173,1.244277
2012-06,1.554543,1.241033
2012-07,1.558927,1.268736
2012-08,1.571922,1.267722
2012-09,1.610515,1.252845
2012-10,1.608404,1.23973
2012-11,1.5957,1.243986
2012-12,1.614926,1.230995
2013-01,1.596005,1.201341
2013-02,1.548975,1.15947
2013-03,1.507545,1.16298
2013-04,1.531138,1.175467
2013-05,1.528927,1.177695
2013-06,1.54815,1.173855
2013-07,1.517557,1.16023
2013-08,1.549414,1.164132
2013-09,1.585848,1.188062
2013-10,1.609435,1.180417
2013-11,1.610567,1.193629
2013-12,1.63845,1.19565
2014-01,1.646273,1.209591
2014-02,1.65546,1.212
2014-03,1.662,1.202405
2014-04,1.67387,1.21185
2014-05,1.684186,1.22651
2014-06,1.690471,1.243695
2014-07,1.707109,1.260878
2014-08,1.670162,1.254252
2014-09,1.630768,1.264123
2014-10,1.606983,1.268096
2014-11,1.577775,1.265035
2014-12,1.564267,1.268595
2015-01,1.5155,1.304519
2015-02,1.5328,1.35055
2015-03,1.497764,1.382214
2015-04,1.49478,1.386745
2015-05,1.546015,1.38676
2015-06,1.555905,1.387577
2015-07,1.555648,1.41483
2015-08,1.559605,1.400457
2015-09,1.534505,1.367509
2015-10,1.53305,1.364705
2015-11,1.519414,1.415329
2015-12,1.498418,1.377736
2016-01,1.439395,1.32552
2016-02,1.430452,1.289567
2016-03,1.422638,1.28181
2016-04,1.431405,1.262371
2016-05,1.454373,1.286009
2016-06,1.421695,1.265859
2016-07,1.3161,1.189043
2016-08,1.31107,1.169417
2016-09,1.315718,1.173486
2016-10,1.233648,1.1188
2016-11,1.242836,1.151282
2016-12,1.248614,1.184314
2017-01,1.232886,1.16155
2017-02,1.24808,1.172745
2017-03,1.234391,1.155304
2017-04,1.264217,1.179
2017-05,1.292464,1.169023
2017-06,1.280118,1.139977
2017-07,1.298952,1.128505
2017-08,1.29583,1.097578
2017-09,1.332038,1.118048
2017-10,1.319832,1.122732
2017-11,1.321941,1.126255
2017-12,1.340984,1.132968
2018-01,1.381273,1.132168
2018-02,1.39691,1.131295
2018-03,1.397371,1.132757
2018-04,1.407705,1.146655
2018-05,1.346473,1.139923
2018-06,1.32881,1.137848
2018-07,1.317095,1.127095
2018-08,1.287713,1.115017
2018-09,1.305895,1.120095
2018-10,1.301052,1.132891
2018-11,1.290032,1.134914
2018-12,1.268126,1.113942
2019-01,1.288714,1.128868
2019-02,1.30089,1.14603
2019-03,1.316981,1.165219
2019-04,1.30408,1.160385
2019-05,1.283209,1.147277
2019-06,1.26739,1.122255
2019-07,1.24737,1.111878
2019-08,1.215314,1.092332
2019-09,1.23521,1.122519
2019-10,1.263035,1.142652
2019-11,1.28859,1.166052
2019-12,1.311695,1.180275
2020-01,1.307055,1.177518
2020-02,1.29677,1.189215
2020-03,1.2378,1.118445
2020-04,1.240725,1.142285
2020-05,1.22934,1.127705
2020-06,1.252291,1.112695
2020-07,1.26713,1.105417
2020-08,1.313067,1.110133
2020-09,1.296836,1.099682
2020-10,1.297682,1.10205
2020-11,1.321157,1.116038
2020-12,1.342945,1.1035
2021-01,1.363455,1.120295
2021-02,1.386395,1.14596
2021-03,1.385648,1.164535
2021-04,1.384425,1.155745
2021-05,1.408124,1.159324
2021-06,1.4029,1.164532
2021-07,1.380877,1.168073
2021-08,1.380273,1.172532
2021-09,1.373736,1.167109
2021-10,1.369857,1.180757
2021-11,1.346195,1.179495
2021-12,1.331883,1.178252
2022-01,1.354971,1.197571
2022-02,1.35366,1.19353
2022-03,1.317491,1.195683
2022-04,1.293342,1.195416
2022-05,1.245014,1.176945
2022-06,1.232095,1.166091
2022-07,1.198162,1.177162
2022-08,1.198735,1.183496
2022-09,1.132745,1.14355
2022-10,1.128719,1.148705
2022-11,1.1741,1.150909
2022-12,1.217914,1.150252
2023-01,1.220836,1.13365
2023-02,1.21006,1.12934
2023-03,1.213965,1.133913
2023-04,1.244711,1.134906
2023-05,1.248541,1.148927
2023-06,1.262523,1.164686
2023-07,1.287995,1.164795
2023-08,1.270074,1.16427
2023-09,1.2401,1.160681
2023-10,1.216914,1.152114
2023-11,1.2417,1.148827
2023-12,1.265305,1.160553
2024-01,1.269927,1.164536
2024-02,1.263038,1.170062
2024-03,1.271265,1.16927
2024-04,1.25241,1.167452
2024-05,1.263673,1.168736
2024-06,1.27109,1.18145
2024-07,1.285909,1.185809
2024-08,1.293368,1.174459
2024-09,1.321857,1.19019
2024-10,1.305961,1.197674
2024-11,1.274905,1.199367
2024-12,1.26549,1.20767
2025-01,1.233991,1.191832
2025-02,1.253475,1.2038
2025-03,1.291076,1.194738
2025-04,1.31342,1.171355
2025-05,1.33709,1.185586
2025-06,1.355157,1.176776
2025-07,1.350448,1.1565
2025-08,1.344267,1.155719
2025-09,1.350186,1.150841
2025-10,1.334487,1.147409
2025-11,1.313705,1.136415
2025-12,1.338157,1.142862
2026-01,1.3519,1.151705
2026-02,1.3586,1.14903
2026-03,1.334209,1.154332
2026-04,1.343036,1.148527
